"V2"	"V2.1"	"V2.2"
"247"	0.01906083	0.01286046	0.02430464
"248"	0.01921734	0.01298297	0.02458162
"249"	0.01945274	0.01313311	0.02486436
"250"	0.01969412	0.01325901	0.0251515
"251"	0.01988614	0.01342527	0.02542561
"252"	0.02018697	0.01363023	0.0258404
"253"	0.02056201	0.01388334	0.02638922
"254"	0.02122192	0.01428352	0.02711621
"255"	0.021768	0.01467765	0.02783915
"256"	0.02233157	0.01503166	0.02861114
"257"	0.02287552	0.01531964	0.02927547
"258"	0.02331484	0.01569734	0.02977701
"259"	0.0234603	0.01582453	0.02992115
"260"	0.0233456	0.01575677	0.02987834
"261"	0.02298936	0.01546132	0.02938008
"262"	0.02255219	0.01525783	0.0288916
"263"	0.02211686	0.01493752	0.02828815
"264"	0.02170411	0.01472563	0.0277696
"265"	0.02127669	0.01450368	0.02726761
"266"	0.02110357	0.01442342	0.02701965
"267"	0.02103342	0.0142641	0.02678696
"268"	0.02099537	0.01418063	0.02668607
"269"	0.02093337	0.01413137	0.02673794
"270"	0.02089954	0.01411847	0.02685121
"271"	0.02106002	0.01414729	0.02699892
"272"	0.02122731	0.01427746	0.02727915
"273"	0.02138176	0.0143317	0.02746583
"274"	0.02166656	0.01444705	0.02777334
"275"	0.02186771	0.01451125	0.02804958
"276"	0.022158	0.01477383	0.02843154
"277"	0.02246069	0.01494235	0.02880258
"278"	0.02275358	0.01517263	0.02925268
"279"	0.02306899	0.01537391	0.02967884
"280"	0.0234709	0.01559978	0.03016987
"281"	0.02398049	0.01590615	0.03075944
"282"	0.02458488	0.0163299	0.03158019
"283"	0.02527257	0.01676343	0.03241342
"284"	0.02606538	0.01726283	0.03344567
"285"	0.02683274	0.01783685	0.03447654
"286"	0.0276338	0.01841612	0.03549084
"287"	0.02842	0.01889793	0.03645066
"288"	0.02929932	0.01945132	0.03755361
"289"	0.03013273	0.01996179	0.03866419
"290"	0.03094499	0.02057281	0.03973049
"291"	0.03185865	0.02122404	0.04072579
"292"	0.03275168	0.02187813	0.04179008
"293"	0.03359711	0.02245898	0.04277897
"294"	0.03451808	0.0230179	0.04380712
"295"	0.03530823	0.02349059	0.04479337
"296"	0.03604268	0.02399211	0.04578102
"297"	0.0368733	0.02456665	0.04667247
"298"	0.03773877	0.0251304	0.04763021
"299"	0.03866209	0.02573857	0.04879907
"300"	0.03979374	0.02646299	0.05011732
"301"	0.04106447	0.0272632	0.05156284
"302"	0.04243938	0.02834116	0.05322168
"303"	0.04392812	0.0295261	0.05508526
"304"	0.04545008	0.03069112	0.05697481
"305"	0.04675383	0.03181115	0.0586554
"306"	0.04782145	0.03277719	0.06011932
"307"	0.04861737	0.03359048	0.06119074
"308"	0.04902807	0.03408858	0.06185715
"309"	0.04921309	0.03431031	0.0621933
"310"	0.0493257	0.03442697	0.06246264
"311"	0.04957432	0.03459099	0.06280328
"312"	0.04999555	0.03492592	0.06339192
"313"	0.05060608	0.03548822	0.06427159
"314"	0.05125185	0.03607915	0.06526744
"315"	0.05181447	0.03656314	0.06608275
"316"	0.05229087	0.03710216	0.06686272
"317"	0.05272787	0.0375608	0.06757443
"318"	0.05323168	0.03795625	0.06823355
"319"	0.05386262	0.03847112	0.06898484
"320"	0.05463377	0.0390836	0.06992466
"321"	0.05548299	0.03971902	0.07103576
"322"	0.05634719	0.04037293	0.0721898
"323"	0.05729435	0.04099629	0.0732924
"324"	0.05821648	0.04169061	0.07441196
"325"	0.05905057	0.04234283	0.07551565
"326"	0.05987991	0.042971	0.07661602
"327"	0.06069194	0.04359397	0.07766724
"328"	0.06149839	0.04422411	0.07862481
"329"	0.06212196	0.04469625	0.07935315
"330"	0.06229739	0.04493066	0.07972515
"331"	0.06207051	0.04490189	0.07953744
"332"	0.06155501	0.04461234	0.0788881
"333"	0.06079556	0.04406111	0.07794306
"334"	0.05997949	0.04345131	0.07690743
"335"	0.05929108	0.04301691	0.07614997
"336"	0.05863697	0.04271604	0.07549436
"337"	0.05805326	0.04239784	0.07490768
"338"	0.05748728	0.04210747	0.07425232
"339"	0.05686205	0.04177896	0.07350925
"340"	0.05614496	0.04143804	0.07273576
"341"	0.0552792	0.04093851	0.07170796
"342"	0.05420784	0.04022529	0.07041524
"343"	0.05308473	0.0394694	0.06906455
"344"	0.05206343	0.03876609	0.06779763
"345"	0.05092097	0.03796909	0.06644025
"346"	0.04960292	0.03709858	0.06493387
"347"	0.04843538	0.03626977	0.06348962
"348"	0.04732586	0.03540596	0.06206756
"349"	0.04624815	0.03456228	0.06076881
"350"	0.04527603	0.03376221	0.0595129
"351"	0.0443788	0.03296056	0.05830682
"352"	0.04347731	0.03220829	0.05713895
"353"	0.04239853	0.031397	0.05578855
"354"	0.04133989	0.03059047	0.0544483
"355"	0.04044631	0.02979149	0.05318532
"356"	0.03975061	0.02923428	0.05227356
"357"	0.03928689	0.02886723	0.05170379
"358"	0.03896847	0.02864002	0.05126647
"359"	0.03869936	0.02843462	0.05091892
"360"	0.03851452	0.02838735	0.05070263
"361"	0.03838351	0.02836093	0.0505345
"362"	0.03826423	0.0283227	0.05033983
"363"	0.038169	0.02826092	0.05015994
"364"	0.03809375	0.02827867	0.0500499
"365"	0.03800608	0.02828663	0.04994518
"366"	0.03782024	0.02823189	0.04971618
"367"	0.03746938	0.02799918	0.04916548
"368"	0.03685238	0.02757668	0.04834611
"369"	0.03598559	0.02693257	0.04724348
"370"	0.03491027	0.02612706	0.04588202
"371"	0.03379301	0.02527587	0.04428992
"372"	0.03264157	0.02437739	0.04275231
"373"	0.03153141	0.02353434	0.04129609
"374"	0.03052847	0.02281378	0.03999417
"375"	0.02963165	0.02214353	0.03885754
"376"	0.02879231	0.02153437	0.03778084
"377"	0.02788642	0.02083728	0.03658542
"378"	0.02693081	0.02010746	0.03532131
"379"	0.02602326	0.01939903	0.03409249
"380"	0.02509992	0.0187342	0.03293468
"381"	0.02423691	0.01808607	0.03182517
"382"	0.02356723	0.01756868	0.03097132
"383"	0.02297741	0.01717809	0.03028294
"384"	0.02256507	0.01693989	0.02978535
"385"	0.02237002	0.01675906	0.02950943
"386"	0.02240061	0.01675572	0.02951904
